station,ljungbox_stat,ljungbox_p,ljungbox_autokorreliert_5pct,jarque_bera_stat,jarque_bera_p,normal_5pct,arch_stat,arch_p,arch_heterosked_5pct
Pasing,46.385618298367774,0.0007133667104337421,True,6340017.178528545,0.0,False,10522.896879659107,0.0,True
Laim,35.10011914447853,0.01957748426141558,True,39754334.729296096,0.0,False,11673.369662129977,0.0,True
Hirschgarten,42.318252089167004,0.002513153992005867,True,139719930.99986976,0.0,False,5193.994555186898,0.0,True
Donnersbergerbruecke,46.47401787798703,0.0006936213158183718,True,331446642.8818209,0.0,False,2988.2030938004136,0.0,True
Hackerbruecke,145.49764271403592,4.557057613982846e-21,True,224019646.69098568,0.0,False,14824.63095129659,0.0,True
Hauptbahnhof_tief,32.656336609799936,0.03678748341573664,True,17333429.898709603,0.0,False,4254.97765749298,0.0,True
Karlsplatz_Stachus,14.252664940324859,0.8174575972577554,False,9792095.845519193,0.0,False,9552.154935653723,0.0,True
Marienplatz,11.816377652421714,0.9222510945192246,False,144653104.61867547,0.0,False,4587.820432458803,0.0,True
Isartor,21.142370103144053,0.3887957630042781,False,99506947.88290162,0.0,False,21828.07329774864,0.0,True
Rosenheimer_Platz,46.85800482374239,0.0006138026183840986,True,2356746904.4699197,0.0,False,1226.31986601681,1.7491885499156546e-247,True
Ostbahnhof,61.43391784958427,4.262620734986683e-06,True,8657458.91417912,0.0,False,4637.569329248827,0.0,True
Leuchtenbergring,21.622840751654806,0.361321908411729,False,200460166.56019706,0.0,False,2975.705007752186,0.0,True
