,netto_kopplung
Pasing,-0.6671660958849358
Laim,-0.5608058550360635
Hirschgarten,-0.6438786759823298
Donnersbergerbruecke,-0.40118460225847513
Hackerbruecke,-0.7263943099690386
Hauptbahnhof_tief,-0.6325042311918726
Karlsplatz_Stachus,-0.6231022468352236
Marienplatz,0.3823658141139582
Isartor,0.4445098426481622
Rosenheimer_Platz,0.7828991387629106
Ostbahnhof,1.3535008564501625
Leuchtenbergring,1.2917603651827456
