,netto_kopplung
Pasing,2.537660983912964
Laim,2.0770081275441323
Hirschgarten,0.15874450401353046
Donnersbergerbruecke,-0.11738642531478538
Hackerbruecke,-0.07263585688738217
Hauptbahnhof_tief,-0.586010927247563
Karlsplatz_Stachus,-0.7356690126980411
Marienplatz,-0.6932123240030659
Isartor,-0.5529524702487598
Rosenheimer_Platz,-0.6578594008117458
Ostbahnhof,-0.7939895631067294
Leuchtenbergring,-0.5636976351525536
