station,ljungbox_stat,ljungbox_p,ljungbox_autokorreliert_5pct,jarque_bera_stat,jarque_bera_p,normal_5pct,arch_stat,arch_p,arch_heterosked_5pct
Pasing,430.72849216340893,8.428378526012596e-79,True,9463526.69166794,0.0,False,6464.820374237399,0.0,True
Laim,413.8089929433613,2.779078076171818e-75,True,5028192.646104884,0.0,False,9573.996240096605,0.0,True
Hirschgarten,110.39867662255567,1.6612367651192606e-14,True,4753033.45941831,0.0,False,6704.196969984292,0.0,True
Donnersbergerbruecke,131.57536848061704,1.9725885165096123e-18,True,20828426.431631356,0.0,False,4873.440588806138,0.0,True
Hackerbruecke,184.09257471132744,1.5319089520513533e-28,True,5633042.905057603,0.0,False,7660.068393075803,0.0,True
Hauptbahnhof_tief,311.75160550540403,3.198115602794078e-54,True,5414669.438031727,0.0,False,9585.206391484897,0.0,True
Karlsplatz_Stachus,372.38585859715363,1.0684092485757885e-66,True,10118080.742568254,0.0,False,27857.619352262514,0.0,True
Marienplatz,98.14391187046189,2.702450227359085e-12,True,7542486.491859745,0.0,False,10106.300528613538,0.0,True
Isartor,324.57981107234656,7.513875274714716e-57,True,13400126.64996747,0.0,False,14219.22332260513,0.0,True
Rosenheimer_Platz,181.50457262327794,4.926363142350226e-28,True,7033551.230507334,0.0,False,17221.519324984038,0.0,True
Ostbahnhof,346.630275224976,2.2027922427724392e-61,True,10282001.43842029,0.0,False,6745.503986921975,0.0,True
Leuchtenbergring,649.3735878405574,1.1114882819012188e-124,True,2933409.031536743,0.0,False,5261.252190694931,0.0,True
