station,adf_stat,p_value
Karlsplatz_Stachus,-9.561130457160768,2.424281522965321e-16
Marienplatz,-4.99223043815894,2.2992493397463724e-05
Isartor,-8.079293491195926,1.4762213630505993e-12
Rosenheimer_Platz,-4.409308605609821,0.00028577319994098436
Ostbahnhof,-5.707688413525815,7.422749736206877e-07
Leuchtenbergring,-5.122069233701245,1.2655065890050164e-05
Pasing,-11.449091051424665,5.918485121821422e-21
Laim,-8.97971370377504,7.366377675672314e-15
Hirschgarten,-3.26186466274627,0.016671595851069226
Donnersbergerbruecke,-3.433410689289355,0.009871284488795725
Hackerbruecke,-2.8735691083146055,0.048509012088508933
Hauptbahnhof_tief,-4.231442117068907,0.0005826421784248563
Karlsplatz_Stachus,-7.722911430726696,1.1795760254349602e-11
Marienplatz,-4.4706801579903575,0.0002220709076152615
Isartor,-3.248103460214154,0.017363733713652376
Rosenheimer_Platz,-7.254425274501612,1.745846542289118e-10
Ostbahnhof,-4.527875486480662,0.0001750495295500825
Leuchtenbergring,-7.0582761054470415,5.304943008558169e-10
Pasing,-4.53362559027813,0.0001708859595341531
Laim,-3.358299469597032,0.012465289643904535
Hirschgarten,-3.502205983746092,0.007930620137851922
Donnersbergerbruecke,-4.726289330180381,7.508670924314869e-05
Hackerbruecke,-4.729910859374918,7.391363613701556e-05
Hauptbahnhof_tief,-5.146953225880819,1.1270966820984854e-05
Karlsplatz_Stachus,-5.025269657821918,1.9774497627354675e-05
Marienplatz,-4.84246898664653,4.5075407921341004e-05
Isartor,-4.317908480975988,0.00041353957521238
Rosenheimer_Platz,-4.325925434758447,0.00040046700655932405
Ostbahnhof,-4.772489970843896,6.137385048440026e-05
Leuchtenbergring,-5.291879624431274,5.691763130561374e-06
Pasing,-4.962037131395986,2.6370529622239185e-05
Laim,-11.121104308659472,3.464245159860001e-20
Hirschgarten,-3.6196866472640963,0.0053956249144603025
Donnersbergerbruecke,-4.041010634087271,0.0012103543792816168
Hackerbruecke,-3.0353027433233626,0.031726521356292954
Hauptbahnhof_tief,-3.425587382866109,0.010116918599160975
Karlsplatz_Stachus,-3.038428185183281,0.031458220182613336
Marienplatz,-6.091703799405955,1.0327460263591246e-07
Isartor,-3.263505810762529,0.01659068937613303
