episode_id,0
0,1
1,4
2,6
3,2
4,11
5,12
6,2
7,11
8,2
9,12
10,3
11,7
12,9
13,1
14,2
15,6
16,2
17,13
18,11
19,3
20,12
21,11
22,10
23,2
24,12
25,3
26,5
27,7
28,2
29,6
30,1
31,1
32,12
33,4
34,12
35,8
36,2
37,6
38,3
39,1
40,11
41,6
42,1
43,10
44,8
45,20
46,12
47,11
48,5
49,3
50,12
51,1
52,12
53,11
54,12
55,10
56,9
57,11
58,5
59,5
60,12
61,6
62,12
63,11
64,12
65,1
66,11
67,10
68,12
69,11
70,11
71,10
72,9
73,3
74,4
75,4
76,12
77,2
78,6
79,2
80,3
81,1
82,4
83,9
84,11
85,10
86,12
87,2
88,1
89,4
90,11
91,11
92,12
93,3
94,3
95,10
96,12
97,9
98,11
99,2
100,1
101,1
102,3
103,8
104,7
105,1
106,2
107,5
108,10
109,12
110,6
111,1
112,2
113,11
114,12
115,2
116,10
117,8
118,12
119,3
120,3
121,1
122,11
123,11
124,1
125,5
126,10
127,9
128,4
129,5
130,4
131,5
132,4
133,7
134,2
135,10
136,6
137,7
138,1
139,1
140,9
141,5
142,2
143,17
144,5
145,12
146,4
147,2
148,11
149,10
150,7
151,1
152,1
153,11
154,11
155,10
156,11
157,6
158,1
159,11
160,3
161,1
162,2
163,1
164,1
165,10
166,12
167,1
168,3
169,12
170,6
171,5
172,5
173,10
174,9
175,12
176,7
177,3
178,1
179,4
180,7
181,3
182,12
183,1
184,11
185,12
186,1
187,1
188,2
189,1
190,11
191,11
192,1
193,4
194,1
195,12
196,2
197,11
198,1
199,3
200,13
201,1
202,6
203,10
204,7
205,11
206,12
207,1
208,12
209,10
210,12
211,6
212,2
213,1
214,9
215,3
216,4
217,1
218,12
219,1
220,4
221,1
222,1
223,1
224,1
225,2
226,10
227,1
228,3
229,7
230,2
231,1
232,4
233,1
234,4
235,2
236,1
237,5
238,1
239,2
240,11
241,5
242,2
243,7
244,10
245,2
246,10
247,11
248,1
249,12
250,6
251,2
252,11
253,10
254,11
255,5
256,8
257,9
258,6
259,12
260,1
261,1
262,1
263,1
264,9
265,8
266,4
267,1
268,1
269,4
270,6
271,7
272,1
273,1
274,4
275,1
276,9
277,4
278,1
279,3
280,1
281,1
282,9
283,1
284,3
285,11
286,1
287,10
288,3
289,3
290,3
291,1
292,5
293,12
294,9
295,8
296,7
297,7
298,17
299,2
300,6
301,10
302,2
303,1
304,1
305,2
306,6
307,7
308,12
309,1
310,1
311,3
312,1
313,4
314,1
315,1
316,14
317,10
318,8
319,7
320,1
321,1
322,1
323,6
324,3
325,9
326,2
327,1
328,2
329,5
330,2
331,1
332,1
333,11
334,1
335,12
336,11
337,4
338,8
339,10
340,11
341,9
342,2
343,9
344,10
345,1
346,8
347,1
348,2
349,9
350,10
351,9
352,4
353,1
354,7
355,4
356,5
357,1
358,3
359,6
360,3
361,11
362,5
363,1
364,12
365,1
366,12
367,9
368,15
369,7
370,9
371,4
372,11
373,3
374,10
375,3
376,12
377,4
378,8
379,9
380,4
381,4
382,8
383,2
384,1
385,12
386,1
387,2
388,3
389,1
390,1
391,9
392,11
393,11
394,10
395,9
396,5
397,3
398,3
399,3
400,6
401,3
402,11
403,11
404,5
405,8
406,12
407,3
408,2
409,5
410,12
411,12
412,6
413,12
414,7
415,1
416,8
417,4
418,5
419,11
420,4
421,5
422,1
423,1
424,3
425,4
426,12
427,6
428,6
429,3
430,9
431,7
432,6
433,6
434,1
435,1
436,6
437,3
438,7
439,1
440,2
441,1
442,7
443,2
444,1
445,8
446,14
447,3
448,1
449,3
450,12
451,7
452,5
453,8
454,12
455,16
