weekday_type,ereignis_anteil,kontroll_anteil,differenz_pp
Fr,0.09529664924684907,0.09529664924684907,0.0
Mo-Do,0.7150322778973256,0.7150322778973256,0.0
Sa,0.085152167230249,0.085152167230249,0.0
So+Feiertag,0.10451890562557639,0.10451890562557639,0.0
