minute_event
17
17
31
39
13
8
33
27
3
17
53
33
17
41
17
16
0
16
10
6
16
45
23
1
13
18
16
45
50
16
9
59
17
48
16
5
27
17
2
17
4
43
7
25
29
19
36
17
11
4
17
20
8
1
46
37
43
55
52
1
17
11
30
17
17
16
17
49
37
18
16
50
50
11
7
18
55
17
4
44
23
17
12
4
17
18
16
11
9
40
30
17
51
29
41
17
17
31
17
17
57
16
51
55
16
16
21
16
17
5
1
14
16
17
16
46
17
21
42
20
16
17
53
51
31
17
21
47
16
16
17
16
39
16
9
23
57
16
48
36
16
16
39
43
13
15
17
17
17
17
21
25
16
13
3
37
3
11
50
16
38
58
16
58
40
20
16
17
17
23
17
13
8
52
50
17
18
18
4
20
17
17
19
1
35
54
30
44
17
17
19
41
18
16
22
37
32
17
22
47
8
16
10
17
58
51
16
16
16
28
3
19
0
18
55
8
41
16
17
50
16
46
41
17
35
17
3
31
23
17
44
46
3
16
18
48
16
17
17
10
1
45
23
17
49
17
16
7
43
16
22
37
17
57
2
14
45
17
16
44
16
9
3
23
15
21
1
22
16
0
22
55
16
37
17
9
16
8
17
50
33
57
48
57
31
17
17
15
17
23
16
11
59
17
17
57
36
16
22
48
4
16
2
58
16
14
16
17
35
17
41
53
57
16
17
16
15
16
17
15
17
20
16
2
6
12
4
41
37
28
27
16
33
41
18
17
17
36
27
57
16
9
57
5
19
18
10
16
16
11
14
17
25
15
17
26
27
25
48
18
38
17
3
17
50
54
18
44
53
24
17
36
9
1
31
17
16
17
52
7
58
16
16
17
22
13
35
50
18
40
17
2
18
17
45
55
16
52
16
16
17
22
0
17
24
14
16
1
16
0
17
17
18
0
16
40
18
16
47
17
16
58
33
15
17
45
15
7
13
56
53
53
17
21
17
17
17
19
17
17
31
47
4
16
16
18
26
16
31
1
22
7
54
17
3
18
37
17
6
17
6
17
58
26
2
48
54
18
53
15
51
10
28
17
31
38
17
0
12
16
9
12
31
52
18
13
18
16
18
1
16
18
27
11
44
18
9
16
17
16
42
29
34
41
18
10
23
55
23
16
53
17
4
39
18
8
21
17
46
41
17
41
24
16
16
3
16
29
16
16
17
54
17
17
16
17
20
12
12
1
17
18
11
16
17
17
16
16
16
4
17
57
16
11
17
49
12
17
17
25
47
17
17
22
16
16
16
19
59
17
43
15
17
11
17
21
16
31
9
13
57
32
16
42
48
4
16
16
58
16
16
17
47
29
17
59
12
29
51
59
17
16
55
46
16
17
15
17
20
16
51
4
13
4
31
46
17
51
16
41
26
18
17
17
57
7
33
57
57
17
10
16
9
9
17
17
17
13
17
19
17
25
46
18
16
17
53
17
9
57
54
18
44
49
17
50
16
26
36
35
17
16
17
52
18
56
16
16
17
17
17
19
13
35
48
40
2
16
45
16
46
16
16
5
51
17
16
17
14
14
18
17
16
22
17
17
18
0
16
16
30
4
16
49
17
16
58
16
46
47
31
17
17
19
13
56
53
17
15
21
17
17
17
17
17
33
49
47
16
16
18
52
53
45
1
1
31
11
54
2
58
17
7
17
17
9
17
3
17
16
26
2
28
16
18
10
42
10
17
11
47
16
0
17
37
5
16
31
45
17
12
31
17
13
16
16
18
1
16
31
23
15
55
9
16
17
16
6
16
0
39
18
51
11
16
53
17
6
41
8
21
17
39
35
17
41
16
17
26
3
17
17
16
29
16
16
17
54
17
17
16
17
12
20
12
16
1
16
8
16
16
11
16
17
17
17
16
16
16
6
17
59
16
11
17
12
17
17
27
47
17
17
17
24
16
16
47
17
43
1
15
17
17
7
17
21
45
16
3
51
41
3
19
16
36
24
16
14
40
16
52
46
16
16
17
23
17
39
7
47
51
44
17
