update_timestamp,time_schedule,time_real,delay,is_final,is_cancelled
2025-01-01 04:17:33.864268+01:00,2025-01-01 20:35:00+01:00,2025-01-01 20:35:00+01:00,0,False,False
2025-01-01 19:33:33.794136+01:00,2025-01-01 20:35:00+01:00,2025-01-01 20:35:00+01:00,0,False,False
2025-01-01 19:43:33.841753+01:00,2025-01-01 20:35:00+01:00,2025-01-01 20:35:00+01:00,0,False,False
2025-01-01 19:45:33.920339+01:00,2025-01-01 20:35:00+01:00,2025-01-01 20:35:00+01:00,0,False,False
2025-01-01 20:03:33.760176+01:00,2025-01-01 20:35:00+01:00,2025-01-01 20:35:00+01:00,0,False,False
2025-01-01 20:27:34.328746+01:00,2025-01-01 20:35:00+01:00,2025-01-01 20:35:00+01:00,0,False,False
2025-01-01 20:31:34.167771+01:00,2025-01-01 20:35:00+01:00,2025-01-01 20:35:00+01:00,0,False,False
2025-01-01 20:33:34.651049+01:00,2025-01-01 20:35:00+01:00,2025-01-01 20:35:00+01:00,0,False,False
2025-01-01 20:37:33.891443+01:00,2025-01-01 20:35:00+01:00,2025-01-01 20:35:00+01:00,0,False,False
2025-01-01 21:03:34.414263+01:00,2025-01-01 20:35:00+01:00,2025-01-01 20:35:00+01:00,0,True,False
