month,proportion
1,0.03071402538861701
2,0.044873410491616604
3,0.0272707327377531
4,0.018045101875406838
5,0.025042293207520484
6,0.02507493105255237
7,0.024092169274370044
8,0.028026842814325114
9,0.09184833556056406
10,0.29617212474184373
11,0.20246524522807507
12,0.1863747876273556
