minute_relativ_t0,impulsantwort_delay_s,ci_low,ci_high
-60,71.3565727124183,39.435843668478775,106.80732160231676
-55,70.61544677464009,43.08586461824671,100.60102130507357
-50,66.3297090729783,37.733442112583454,95.95412119272996
-45,61.66417727251061,32.65530585489443,89.96819639647572
-40,74.10413078036397,45.742506905749,102.27558593242499
-35,63.480565520151934,32.89616628931319,100.92585950519856
-30,66.92461763617013,38.1142110064843,98.29776313632354
-25,53.93746137097906,26.924227416029325,86.91929135370867
-20,72.9206017061744,38.413113740409095,111.77797864074732
-15,36.54703870537204,11.3867752047457,64.95788833750208
-10,67.72682853283158,33.13784222489836,106.1156672078286
-5,102.00538947018767,70.58591166065796,135.54295523736945
0,140.7052517361111,110.18140141723356,177.82658248882348
5,94.27537760593317,62.9865939528316,130.25669120711325
10,102.21145280591735,72.64092954687028,133.81207358127728
15,74.49467250501733,45.12430508107968,104.59976083468392
20,65.28281321680888,38.595484629942206,92.91738585501452
25,76.6046106510237,40.75221255481125,114.45740865622417
30,67.90822290721844,41.378832639747884,95.6754019918845
35,71.3080493197279,41.98994512513035,104.03953210627016
40,45.14508965098068,19.853477218433312,72.03037767546371
45,49.308514077163714,25.567538412143524,73.39875113136075
50,40.628607503607505,14.385187254562256,68.79585809179589
55,36.39392379537253,11.660750665801794,61.93274527354289
60,36.45464003108662,13.956848281397416,59.05285210842931
65,30.900307766872647,9.333969179456922,51.074227712769584
70,44.44338986736247,14.44022641222238,76.1436725283729
75,47.13641206737537,20.312813839790152,73.77397012609839
80,55.25875846038972,26.204410256574896,87.0145406029101
85,34.09717307412261,15.27622899476256,53.1132598381705
90,39.5406868887906,14.040315316864039,67.46993117840138
95,46.12464088199382,19.56165119991993,71.59791268971465
100,54.72553628288922,18.061093569929294,107.30389764422621
105,22.732337283187363,2.501771383390003,43.32655983172095
110,29.577521921653375,9.625909728885654,50.46836928420739
115,36.48074481074481,15.150601481456523,59.05438808023258
120,50.69182783882784,26.83235118627527,76.55079692708959
125,39.455708228254956,14.42766133461721,67.85968250422764
130,35.57673321123321,12.253998993161531,57.941976472651966
135,44.204009176587306,17.60377737402858,71.34470034668966
140,12.162368856303534,-8.917589368825933,32.45397430386751
145,34.19692368742369,12.188650310097835,55.22381217530147
150,33.418156009783374,10.194213042787384,58.99072512782231
155,37.329758213362865,11.300118511825431,65.95097613076972
160,24.69082147204213,0.5866916327012903,50.077266954052114
165,20.076683673469386,2.081062577061837,39.67326886023825
170,28.47815348182284,5.07458237731638,57.385926777020345
175,50.22002374703162,23.076835565028162,80.41433432593341
180,42.21403065745171,19.07046396570847,67.45536641173358
185,48.04668974085907,23.26405517009918,76.3942339893604
190,38.691638459368676,13.208947389730165,65.24464984432187
195,38.237946350701456,16.954448005434745,61.02040626266224
200,50.01739960442642,24.102234892137872,76.92397066610731
205,41.10719945664478,18.072673229022573,64.42782743665133
210,42.536592970521546,16.326241815684888,73.88354355887024
215,44.59855171367911,18.51889476046829,72.16673971516911
220,33.53450979642793,9.770843250971987,58.973001380336534
225,46.18289746543779,21.15584232523591,77.66195543119181
230,27.858634868421056,9.3256550229741,47.906672767178414
235,32.640960154467265,12.137553422723112,55.78501471080527
240,26.162189314750286,3.5384419624740056,50.259218882496384
