code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
2,0.10664394315543686,0.13925307639662368,0.13860894536963728,0.15451093009836417,0.22311088447241642,0.1253908399200204,0.11248138058750118
3,0.17721827552583924,0.11737358963643961,0.21291266193063102,0.2905871291266193,0.09707131912522636,0.02601337233597994,0.07882365231926453
5,0.19381507798185638,0.14421057335657148,0.18469857442910131,0.14374878967987964,0.16905751441211958,0.117516497594256,0.04695297254621561
7,0.09966967539834737,0.05441821705037199,0.15233084669524793,0.122712075422444,0.2825028363738592,0.12961977529894878,0.15874657376078072
8,0.17588204318062137,0.24818730505934297,0.12395187750637987,0.045611050350386845,0.1249240490946652,0.11228581844695588,0.16915785636164782
23,0.28748385862547227,0.13702233487971688,0.17585728633602754,0.1367832034052322,0.20957482423836626,0.00717394423454015,0.0461045482806447
31,0.23716538630748926,0.13042742563200108,0.12125621848455108,0.15648583708416527,0.15509831127956952,0.11868421943212969,0.08088260178009408
33,0.1693683240623827,0.05043852165307306,0.13319455345869025,0.20567859946080605,0.042077602975804526,0.2916424939425997,0.10759990444664369
34,0.18282216444427055,0.1467848466849011,0.1751395147837654,0.12246712644005221,0.1883920854481368,0.06379088965794424,0.12060337254092968
36,0.23341126380414742,0.11150709927581684,0.2134914751667902,0.1535610423675657,0.11193476649369903,0.13331812738780863,0.04277622550417213
38,0.11104367798920656,0.1926854773953801,0.13762581464398424,0.21712012847565873,0.1772142443651846,0.09153890683647364,0.07277175029411216
40,0.09738025198423711,0.20297496808569684,0.13725925514791587,0.32846755841705055,0.11378142865071876,0.041682855081312094,0.07845368263306877
41,0.18369520833703198,0.15658565164130878,0.15972801675928064,0.16949242814280896,0.20329504500505974,0.07342837360413301,0.053775276510376904
42,0.14475007394262052,0.27601301390121263,0.19361135758651288,0.17911860396332446,0.08790298728186927,0.07873410233658681,0.03986986098787341
43,0.1703036093690551,0.17889632736118058,0.16151103587139137,0.1677738875422689,0.16068275770672755,0.08937922956236988,0.07145315258700662
44,0.17844571964929495,0.18732000767967233,0.16667022207052498,0.17793374149369626,0.17443522409710518,0.06973569127717218,0.045459393732534076
45,0.15638157103332131,0.16897229239344,0.16199526845503026,0.16047155058342355,0.17955812181723405,0.09026023497333494,0.08236096074421588
48,0.16719491606409073,0.18941324499092155,0.1861083681075399,0.16729047876915235,0.16194693084445577,0.07692797757461854,0.051118083649221165
55,0.115,0.13193333333333335,0.15113333333333334,0.2186,0.21373333333333333,0.0452,0.1244
64,0.17408804394602942,0.1610679357685914,0.13140774118421386,0.25249559105215635,0.1629834021044815,0.06999468394805458,0.04796260199647284
