code,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2,0.02012909459332519,0.005622727089735504,0.0002549685315154524,0.0023483943692212722,0.007971121458956777,0.010856291684000053,0.011741971846106362,0.01048054858492465,0.04588091627638589,0.038258699123713415,0.05501952522175552,0.058441471302620805,0.07139118882432668,0.028905379836014974,0.04934312054643782,0.07704075470685329,0.06674807767146634,0.11257531636227003,0.10167876648908332,0.07092150995048242,0.031159838430467397,0.0421637434748185,0.06579530052738228,0.015271273098136046
3,0.004405209639225519,0.0,0.006041927845103775,0.018630728513720572,0.008705947903607745,0.013372335979941497,0.038219111296838,0.04027371500208943,0.039037470399777126,0.06461554534057669,0.1171298230951386,0.053297813065886615,0.05740702047638947,0.04826577517760134,0.15327691879091795,0.05785972976737707,0.08011213260899847,0.04748223986627664,0.04866624878116729,0.018404373868226773,0.051086502298370244,0.0070518178019222735,0.011126201420810698,0.015531411060036217
5,0.0014151435253459653,0.00029792495270441376,0.0,4.468874290566207e-05,0.003977298118603923,0.02033337802207624,0.08464047906332395,0.06041918040845511,0.06509660216591441,0.018873545753824612,0.06132785151420357,0.04984284458744842,0.046461396374253325,0.13193606530514962,0.03077564761436594,0.057678270843574506,0.07893521621903443,0.09320582145357584,0.0686270128554617,0.03444012453263023,0.04705724627966215,0.03850680013704548,0.0040666756044152475,0.002040785926025234
7,0.003263084970732638,5.020130724204058e-05,0.00020080522896816233,0.003263084970732638,0.0025401861464472535,0.007670759746583801,0.011967991646502476,0.0038956214419823493,0.005150654123033364,0.0039659032721212064,0.05990019980120282,0.1260755630076607,0.017309410737055594,0.02495004969929417,0.12657757608008113,0.08407714936896957,0.11290273998734927,0.11988072169399291,0.05840420084539001,0.04625548449281619,0.06115523248225384,0.049880018875691524,0.05322342593801142,0.017439934135884898
8,0.040183092315793735,0.015959816907684207,0.003767164904605663,0.0019848503260825536,0.008628022846032325,0.02082067484911087,0.1103819824198971,0.029043626200024306,0.0012557216348685542,0.050795965487908615,0.052578280066431726,0.12451897759954632,0.04642119334062462,0.04459837161258962,0.004050714951188885,0.010815408919674323,0.013083809292340098,0.017094017094017096,0.0810142990237777,0.07064446874873415,0.1649856199619233,0.027261311621501194,0.03937294932555596,0.02073966055008709
23,0.016356592854751544,0.009756564158974605,0.012434836673202927,0.0038739298866516812,0.01841312353531972,0.02252618489645607,0.034482758620689655,0.027547945860634176,0.05160457219379215,0.08618298340427567,0.044526280549045866,0.04926108374384237,0.022574011191353004,0.046582811229614045,0.05184370366827682,0.0462480271653355,0.04691759529389258,0.0748003252188053,0.13467884642976707,0.04835238414080061,0.012960925917069205,0.06552202400880004,0.03233057535032761,0.04022191400832178
31,0.046938982706690585,0.01715794104707435,0.014822836644218079,0.027919726555890215,0.040644353446817154,0.0504585603573725,0.0919151240312701,0.025076990761108666,0.032251514433652574,0.02429862262682324,0.03187925141290737,0.02761514772073505,0.032285356526447595,0.10098480490033504,0.027919726555890215,0.045551456902094827,0.04226877390097804,0.05198145453314833,0.041828826694642794,0.04044130089004704,0.03969677484855663,0.04680361433551051,0.06159260888693357,0.037666249280855525
33,0.001023785960481862,3.412619868272873e-05,0.0023205815104255538,0.0008531549670682183,0.0006825239736545746,0.019827321434665392,0.1117633006859366,0.04023478824693717,0.026959696959355697,0.15704876633791762,0.030781831211821317,0.01641470156639252,0.015117906016448827,0.013309217486264204,0.10340238200866805,0.032010374364399546,0.02934853086714671,0.02119236938197454,0.10671262328089275,0.08504248711736,0.09568986110637136,0.03712930416680886,0.04607036822168379,0.007029996928642118
34,0.0067649998399447984,0.004008493596013558,0.002308351680401774,0.007049542419963507,0.01830675824195367,0.029115819500414364,0.04938947832674736,0.05815694657357382,0.05718594501925998,0.05966502224767298,0.09938360963603447,0.04495417086070574,0.05702944660024969,0.04534186012598123,0.06215121304058644,0.044673185062937264,0.0426387056158035,0.04223678922152707,0.03712213634569078,0.050367593445561666,0.04535253047273193,0.02369172656880773,0.06678214353039093,0.04632353202704577
36,0.004210146167151356,0.005559673832468495,0.00744140959115014,0.010359050388701982,0.023056014901826613,0.041464712702666745,0.031048640018247135,0.05370549885005037,0.06775199102849214,0.057953659881013475,0.1345726178935964,0.07936553192298189,0.07278896048354906,0.03976354754709091,0.044876546729771344,0.07026097204006766,0.037948337800079834,0.026695938111801716,0.06181216855790614,0.04888711486191101,0.04395468628233639,0.013466765505312577,0.0132956986181597,0.009760316283666914
