minute_relativ_t0,impulsantwort_delay_s,ci_low,ci_high,n_ereignisse
-60,75.01789406458309,31.16144323261459,123.7742256655156,1193
-55,80.47873468808308,38.511733276080406,123.26916626936439,1174
-50,71.32805478142629,34.514168836230375,109.29282342517304,1179
-45,59.795431056130475,30.138530723478027,90.81906355805076,1201
-40,56.92021170701726,25.719620958027377,87.92200063907903,1188
-35,56.6163330831457,24.18185476486492,89.28887434155969,1142
-30,63.15123192541857,32.51984689354373,94.35000132370162,1168
-25,63.34506422844052,31.61660284996775,99.85008839898929,1164
-20,76.56498228762177,47.05746635868455,112.40320893953431,1165
-15,75.7740755040755,45.21796794842884,110.233140337823,1110
-10,92.22513751737254,51.29305448987116,135.0931397401854,1085
-5,138.26503297362112,99.27891766584455,182.3779587731076,1112
0,211.89651339409005,163.15548890434596,273.634358523623,1207
5,171.3471385923527,127.8820288064,215.19442719216786,1191
10,147.2738062224335,100.98701519636415,195.6234705441107,1202
15,132.4548718724778,96.40260340283437,176.03838727072514,1180
20,115.76853731904494,74.05669784627176,171.07246232203133,1182
25,82.20015082046332,53.84953418020147,116.80346876586563,1184
30,53.49230787232051,26.18003611040493,81.37388092699449,1187
35,50.92517809233047,17.21254722253073,86.40458235272446,1201
40,52.31167950016886,22.603051456337,86.56294728165962,1175
45,34.58633282616443,6.640632268921487,65.9243893779994,1158
50,20.85336410614908,-4.172223280282076,49.593633470513396,1158
55,22.443028826383745,-1.7932005733272194,48.71613072366387,1158
60,14.159403229102804,-13.361644201398564,42.2469408988859,1165
65,17.05272804326202,-6.692409215198072,42.50983864567649,1133
70,15.379987557467627,-8.729103102509454,41.55559235711352,1129
75,15.196931664124724,-6.365594482135576,37.65004274208505,1124
80,47.4109728073535,19.415020980807785,79.93861495959435,1119
85,39.39095346814525,2.4598867830412128,88.39122267677848,1095
90,30.417273039237156,2.08756632528727,64.87674353018484,1087
95,41.76568263969254,3.0780747648549234,87.30598404257755,1111
100,42.1370623998835,4.321318129483745,84.3696702109116,1090
105,25.938283091014185,-3.3780626887313345,58.332193520450694,1071
110,23.458369608231106,-4.415899124151894,55.590788108335,1083
115,20.649434966937246,-5.201518252960178,49.77924092527393,1097
120,19.57370394641037,-4.082456204349995,47.0943675299779,1090
