code,n_vorkommen,n_halte,n_tage,erstes_auftreten,letztes_auftreten,bedeutung,bedeutung_bekannt,ist_stoerungscode
90,36,12,4,2025-05-23 17:17:30.235654,2025-11-25 22:43:44.881893,UNBEKANNT (nicht in IRIS-Referenz),False,False
97,36,12,2,2025-02-28 11:13:50.367180,2025-10-05 10:25:18.227320,UNBEKANNT (nicht in IRIS-Referenz),False,False
76,31,11,5,2025-01-15 04:57:28.479134,2025-08-07 18:52:28.271424,UNBEKANNT (nicht in IRIS-Referenz),False,False
93,25,12,2,2025-07-31 12:16:28.301906,2025-11-08 14:40:11.625897,UNBEKANNT (nicht in IRIS-Referenz),False,False
70,24,12,1,2025-12-10 19:57:57.010755,2025-12-10 20:29:57.738990,WLAN nicht verfügbar,True,False
12,22,11,1,2025-10-20 15:16:18.722734,2025-10-20 15:17:59.489367,Warten auf ein verspätetes Schiff,True,True
30,22,11,1,2025-12-28 04:53:10.200672,2025-12-28 05:09:27.731211,Personalausfall im Stellwerk,True,True
71,18,9,1,2025-01-14 12:45:55.252242,2025-01-14 13:01:00.290868,Eingeschränktes WLAN,True,False
53,12,12,1,2025-09-04 19:18:59.388566,2025-09-04 19:42:49.477964,Unwetterauswirkungen,True,True
9,11,11,1,2025-07-29 04:46:14.994522,2025-07-29 04:47:58.081142,Streikauswirkungen,True,True
94,11,11,1,2025-04-30 16:51:59.147075,2025-04-30 17:25:21.369558,UNBEKANNT (nicht in IRIS-Referenz),False,False
65,11,11,1,2025-03-06 15:41:15.772522,2025-03-06 15:58:50.748098,Erdrutsch,True,True
80,7,4,2,2025-01-14 21:52:15.100982,2025-01-16 13:53:04.922403,UNBEKANNT (nicht in IRIS-Referenz),False,False
74,2,1,1,2025-11-04 19:19:37.321959,2025-11-04 19:19:37.321959,UNBEKANNT (nicht in IRIS-Referenz),False,False
