seed,puenktlichkeitsquote
0,0.7773198356638693
1,0.7774281716295919
2,0.7770651991965183
3,0.777964616812898
4,0.7778364806193441
5,0.7767449645998489
6,0.7773776459696528
7,0.7776153133877052
8,0.7776324942336962
9,0.7774807762724277
10,0.7777245966297102
11,0.7774458746504772
12,0.7776403233694871
13,0.7768045591616081
14,0.7772047420162199
15,0.7778289241391937
16,0.77792774412254
17,0.7773268023254294
18,0.7773026496457462
19,0.7775746448224635
20,0.7774046408469859
21,0.7774081078041342
22,0.7769699315568271
23,0.7776208227061671
24,0.7767113435763321
25,0.7775476203553316
26,0.7770611006486713
27,0.777512762574274
28,0.777392450550399
29,0.7772742013097056
30,0.777395056885053
31,0.7769152099936963
32,0.7777031002785151
33,0.7772942437952768
34,0.7772550147762638
35,0.777085937540861
36,0.7777368005314836
37,0.7775066559961502
38,0.7773930508554362
39,0.7772811440766624
40,0.777114011456072
41,0.7777385436283741
42,0.7769417659812068
43,0.7774429875839918
44,0.7774912111827237
45,0.7774011565410478
46,0.7772910804506323
47,0.7774508188359739
48,0.7774621732250513
49,0.7772662954351073
50,0.7773035177193671
51,0.7773467845083059
52,0.7772232815193197
53,0.7775002484686485
54,0.7775040084537177
55,0.7773081439904167
56,0.7776903079345319
57,0.7774194645178333
58,0.7774886090782116
59,0.7779216227808639
60,0.777763248397482
61,0.777064966380467
62,0.7778390859904342
63,0.7774491343689524
64,0.777672866323336
65,0.7777545287628095
66,0.7771828967191162
67,0.7772639772346837
68,0.7776934948078784
69,0.7772273472707918
70,0.7778056747716151
71,0.7776153286847901
72,0.7770747948809826
73,0.7777187898822102
74,0.7775319278038012
75,0.7774656948508932
76,0.7770021264297167
77,0.7775511004747145
78,0.7774761486316847
79,0.7769350472728224
80,0.7775543188308768
81,0.7777193698217424
82,0.7776952411841328
83,0.7771765001281602
84,0.7772492141284278
85,0.7776757713906086
86,0.7771195262681586
87,0.7769617843057256
88,0.7775763900331374
89,0.7775258093287613
90,0.7775726207818225
91,0.7774825013862878
92,0.777561279253455
93,0.777797540267526
94,0.777341573838923
95,0.7771358025982994
96,0.777357296412338
97,0.7774773196226781
98,0.7772823090643749
99,0.7772186989212161
