weekday,proportion
Monday,0.20800642602904407
Tuesday,0.1533144638236686
Wednesday,0.17528879959819185
Thursday,0.16177129211415267
Friday,0.15312407639431594
Saturday,0.07678778329196184
Sunday,0.07170715874866503
