month,ereignis_anteil,kontroll_anteil,differenz_pp
1,0.06762988011066708,0.0895173685828466,-2.188748847217953
2,0.08576698432216416,0.06907470027666769,1.669228404549647
3,0.06793728865662466,0.0760528742699047,-0.8115585613280046
4,0.06855210574853982,0.07128804180756225,-0.2735936059022434
5,0.07531509375960652,0.08290808484475869,-0.759299108515217
6,0.09529664924684907,0.09495849984629573,0.03381494005533364
7,0.11988933292345527,0.10657854288349217,1.3310790039963105
8,0.09130033814940056,0.08081770673224715,1.04826314171534
9,0.04303719643406086,0.06689209960036889,-2.385490316630803
10,0.06394097755917615,0.07964955425760836,-1.5708576698432217
11,0.12757454657239473,0.07841992007377806,4.9154626498616665
12,0.09375960651706118,0.10384260682446972,-1.0083000307408538
