,anteil
0,0.23120887063030165
1,0.1664289246452889
2,0.17826847730990147
3,0.16833086081631102
4,0.1256799421811404
5,0.07133211609418388
6,0.03488150937654532
7,0.013712959793069345
8,0.005458556810833428
9,0.001930465213587432
10,0.0008939100003803873
11,0.0005705808513066301
12,0.0004279356384799726
13,0.00034234851078397807
14,0.00010460648940621553
15,0.00019970329795732054
16,0.00011411617026132602
17,4.7548404275552514e-05
18,2.8529042565331506e-05
19,3.803872342044201e-05
