minute_relativ_t0,impulsantwort_delay_s,ci_low,ci_high
-60,80.49531969099277,43.72303264690284,121.156646077382
-55,75.23726801899006,48.530874105226275,108.08081873232265
-50,94.76798184276157,62.137028438200446,134.1514932298592
-45,96.26616390410639,57.664294457531426,137.80820520890495
-40,96.4034044048195,61.773764900530004,132.21110416576718
-35,109.2929873423454,65.39955821407825,159.05970534280502
-30,94.42851516228383,59.29907575379425,137.91327219210865
-25,74.0694707797649,44.71602795649405,108.93754383274538
-20,101.72992608748334,65.54203895339943,144.08317158746345
-15,88.82153751582433,48.57743713304192,138.2529983828356
-10,129.16719990079363,79.28260712112119,184.90720192673288
-5,175.12032005471826,129.53460131155902,227.7083999236855
0,198.750991228656,149.44146304793728,251.23347921260705
5,170.6536219336219,124.85959957876668,216.0197351121235
10,156.4503291020216,110.86147565757655,205.8022414826345
15,129.97104199403338,84.30209148639082,180.83844483948425
20,108.65444829382062,69.53602811331675,146.99820499798332
25,100.51765142317551,66.07631264030049,135.003762054668
30,92.49089543538697,59.21661803055544,126.49409707045598
35,96.7303258439526,51.7177256303629,147.20772480208214
40,97.97879907804801,45.91537159836342,165.65597321010907
45,63.27989226563756,30.832888640873016,99.57360849379059
50,67.2854586834734,36.436982604215764,102.69576613352235
55,56.918521051032094,25.239115149845215,93.60509370645177
60,66.88204921776864,38.89819734032797,97.06049181276481
65,57.471316099114055,26.980889274352943,89.6197699557828
70,38.899571312709995,14.370347240659989,65.1941310982131
75,38.965572860723235,9.610795324975697,76.81749219375689
80,61.368814609798214,24.45622044212859,108.01268489941341
85,51.84297860798605,11.858237092276351,100.19353072610056
90,53.371435047807445,9.601959353201694,105.25048483269241
95,49.62380893153281,13.48151719994697,88.56539459071091
100,47.52736601166571,14.376223132704991,84.73922512990139
105,35.52160181673456,-1.0512495810543518,75.13358496140326
110,60.81973548869719,25.980062084346827,97.2061350383716
115,69.09759528561925,32.8072539284535,107.20551890084468
120,77.0136800976801,33.29736377819541,131.85934807920688
125,41.089381932491875,20.679775665540266,61.26355974090007
130,33.61083547191332,12.392576521042487,56.72262658916754
135,29.14688471302821,6.486666754780147,53.632317578721846
140,52.06031378600822,28.84430313481982,77.77246587348796
145,53.92261433052666,10.010519429772295,99.02468640912141
150,58.40031612543079,24.765892823715262,94.26087904918974
155,36.02254016427006,11.832132226042408,60.207268060706106
160,46.8997615407019,13.832196932235021,81.52927443541958
165,38.99468972149187,3.899060252686346,73.72252510782705
170,38.20321001221001,13.097785372150286,64.67074915775437
175,36.55507356389938,8.113546511667144,66.90689145525842
180,44.816651477177786,2.1017711603646685,95.67595724491521
185,45.594826527102065,7.960773489597929,89.17430232312483
190,30.09212650993312,-4.532911313585995,70.93331015341322
195,45.51455339903207,7.897689099781837,81.35871646245342
200,63.25343709947747,24.981332935166417,103.63746510538644
205,53.01728360123765,18.470495178407283,89.51856234637492
210,62.84784435837067,25.499749207818017,102.14258965382584
215,63.36522645335737,24.729907014293236,104.03444070636286
220,66.16646513427173,25.86278740739734,105.93209901797105
225,68.44463553211547,29.021894376586676,104.57448477044447
230,71.61105777777777,39.225450869702264,105.25303561779582
235,62.81409392585863,17.690114508064134,121.45297566201397
240,45.77926085605531,1.514739780243931,98.03809588936548
