hour,ereignis_anteil,kontroll_anteil,differenz_pp
0,0.003381494005533354,0.003381494005533354,0.0
1,0.00768521364893944,0.00768521364893944,0.0
2,0.00522594528127882,0.00522594528127882,0.0
3,0.009529664924684907,0.009529664924684907,0.0
4,0.04949277589917,0.04949277589917,0.0
5,0.04150015370427298,0.04150015370427298,0.0
6,0.04303719643406086,0.04303719643406086,0.0
7,0.04303719643406086,0.04303719643406086,0.0
8,0.07254841684598831,0.07254841684598831,0.0
9,0.0645557946510913,0.0645557946510913,0.0
10,0.06762988011066708,0.06762988011066708,0.0
11,0.040885336612357825,0.040885336612357825,0.0
12,0.06363356901321857,0.06363356901321857,0.0
13,0.058715032277897324,0.058715032277897324,0.0
14,0.07470027666769136,0.07470027666769136,0.0
15,0.04918536735321242,0.04918536735321242,0.0
16,0.03781125115278205,0.03781125115278205,0.0
17,0.05010759299108515,0.05010759299108515,0.0
18,0.03811865969873963,0.03811865969873963,0.0
19,0.040885336612357825,0.040885336612357825,0.0
20,0.048263141715339686,0.048263141715339686,0.0
21,0.03412234860129112,0.03412234860129112,0.0
22,0.036889025514909315,0.036889025514909315,0.0
23,0.019059329849369814,0.019059329849369814,0.0
