date,rows_muenchen,status
2025-09-03,68607,ok
2025-09-04,236790,ok
2025-09-05,390444,ok
2025-09-06,326056,ok
2025-09-07,285469,ok
2025-09-08,362542,ok
2025-09-09,69981,ok
2025-09-10,69786,ok
2025-09-11,70498,ok
2025-09-12,70956,ok
2025-09-13,60897,ok
2025-09-14,58159,ok
2025-09-15,68624,ok
2025-09-16,68655,ok
2025-09-17,68832,ok
2025-09-18,81604,ok
2025-09-19,72207,ok
2025-09-20,61833,ok
2025-09-21,59671,ok
2025-09-22,72838,ok
2025-09-23,72876,ok
2025-09-24,72854,ok
2025-09-25,72854,ok
2025-09-26,73738,ok
2025-09-27,57563,ok
2025-09-28,78857,ok
2025-09-29,835399,ok
2025-09-30,779565,ok
2025-10-01,756883,ok
2025-10-02,816747,ok
2025-10-03,356582,ok
2025-10-04,399772,ok
2025-10-05,473937,ok
2025-10-06,718641,ok
2025-10-07,658595,ok
2025-10-08,513508,ok
2025-10-09,668726,ok
2025-10-10,733753,ok
2025-10-11,264115,ok
2025-10-12,272490,ok
2025-10-13,429246,ok
2025-10-14,742826,ok
2025-10-15,655767,ok
2025-10-16,631301,ok
2025-10-17,646144,ok
2025-10-18,214660,ok
2025-10-19,176162,ok
2025-10-20,683954,ok
2025-10-21,563027,ok
2025-10-22,715617,ok
2025-10-23,718882,ok
2025-10-24,849475,ok
2025-10-25,389634,ok
2025-10-26,383196,ok
2025-10-27,798256,ok
2025-10-28,727432,ok
2025-10-29,765594,ok
2025-10-30,663627,ok
2025-10-31,570803,ok
2025-11-01,299438,ok
2025-11-02,274238,ok
2025-11-03,352164,ok
2025-11-04,323138,ok
2025-11-05,354146,ok
2025-11-06,398935,ok
2025-11-07,357602,ok
2025-11-08,353448,ok
2025-11-09,250862,ok
2025-11-10,784350,ok
2025-11-11,645354,ok
2025-11-12,623894,ok
2025-11-13,689972,ok
2025-11-14,573386,ok
2025-11-15,256181,ok
2025-11-16,209044,ok
2025-11-17,676740,ok
2025-11-18,637205,ok
2025-11-19,636438,ok
2025-11-20,568341,ok
2025-11-21,553189,ok
2025-11-22,399657,ok
2025-11-23,387429,ok
2025-11-24,625700,ok
2025-11-25,559842,ok
2025-11-26,512734,ok
2025-11-27,580268,ok
2025-11-28,594434,ok
2025-11-29,328916,ok
2025-11-30,191177,ok
2025-12-01,605521,ok
2025-12-02,549563,ok
2025-12-03,526800,ok
2025-12-04,539418,ok
2025-12-05,429992,ok
2025-12-06,319160,ok
2025-12-07,173566,ok
2025-12-08,542832,ok
2025-12-09,543008,ok
2025-12-10,712180,ok
2025-12-11,555725,ok
2025-12-12,635294,ok
2025-12-13,408428,ok
2025-12-14,430397,ok
2025-12-15,600039,ok
2025-12-16,683488,ok
2025-12-17,657131,ok
2025-12-18,715098,ok
2025-12-19,567671,ok
2025-12-20,456028,ok
2025-12-21,399226,ok
2025-12-22,583653,ok
2025-12-23,489905,ok
2025-12-24,413453,ok
2025-12-25,410333,ok
2025-12-26,301290,ok
2025-12-27,340510,ok
2025-12-28,294650,ok
2025-12-29,561469,ok
2025-12-30,508621,ok
2025-12-31,436700,ok
