stop_id,ereignis_anteil,kontroll_anteil,differenz_pp
8000262,0.08699661850599447,0.08699661850599447,0.0
8004128,0.08730402705195205,0.08730402705195205,0.0
8004129,0.08884106978173993,0.08884106978173993,0.0
8004131,0.08699661850599447,0.08699661850599447,0.0
8004132,0.08545957577620658,0.08545957577620658,0.0
8004134,0.06086689209960037,0.06086689209960037,0.0
8004135,0.08884106978173993,0.08884106978173993,0.0
8004136,0.08453735013833384,0.08453735013833384,0.0
8004151,0.0863818014140793,0.0863818014140793,0.0
8004158,0.06547802028896403,0.06547802028896403,0.0
8004179,0.09252997233323086,0.09252997233323086,0.0
8098263,0.08576698432216416,0.08576698432216416,0.0
