stop_id,stop_name,stop_lat,stop_lon,n_rows,n_trips
8000524,Altenerding,48.29357199999787,11.901743999989218,410414,35564
8000556,Altomünster,48.384918000003566,11.255132999999057,69411,21919
8000603,Arnbach,48.34132000000624,11.344043999998162,169096,21839
8000653,Aufhausen(b Erding),48.2743649999755,11.894374999992346,351582,29928
8000675,Aying,47.96876200001907,11.76957800000552,330961,36467
8000685,Bachern,48.280158999988174,11.378716000004113,170428,22130
8000781,Baierbrunn,48.018740999982356,11.480027000007746,344369,38604
8000785,Baldham,48.09925600001424,11.786779999992858,729868,51698
8001229,Buchenau(Oberbay),48.16027700000116,11.224496999991485,507459,40140
8001231,Buchenhain,48.03125500002274,11.497442000005384,330540,38906
8001354,Dachau Bahnhof,48.25465200002508,11.444260000010289,654706,65180
8001355,Dachau Stadt,48.26687799999537,11.439528999997483,176095,22140
8001404,Deisenhofen,48.01953900000081,11.583596999993187,395828,45714
8001578,Dürrnhaar,47.99395400000728,11.736606999998967,342334,28603
8001621,Ebenhausen-Schäftlarn,47.978685999988855,11.453608000006426,315149,38872
8001634,Ebersberg(Oberbay),48.07496999999006,11.970242999998193,159851,28604
8001647,Eching,48.30299199995036,11.616753999993946,1032070,75404
8001682,Eglharting,48.08234799994859,11.864290999986729,641113,45441
8001702,Eichenau(Oberbay),48.17932400000215,11.328276999994003,552654,40277
8001825,Erding,48.3034599999967,11.91206299999802,159088,35422
8001829,Erdweg,48.33301099998456,11.304367000002506,181484,22186
8001996,Esting,48.21219599995522,11.317322000002644,581552,48761
8001963,Fasanenpark,48.07971299998701,11.609378000010462,499186,46273
8001970,Feldafing,47.94693800000244,11.290223999996863,538350,39626
8001973,Feldkirchen(b München),48.151845999993576,11.732102999998215,514610,38814
8002078,Freising,48.39519499999171,11.744539000004526,191104,37809
8002161,Furth(b Deisenhofen),48.03552099998373,11.593280999993278,465506,45388
8002141,Fürstenfeldbruck,48.17179000004008,11.262180000000361,557968,40278
8002198,Gauting,48.07065800002215,11.376145999995638,583172,40640
8002210,Geisenbrunn,48.10915700003871,11.324846999995932,589896,42806
8000119,Geltendorf,48.10599119999289,11.037455200003377,163108,33156
8006006,Germering-Unterpfaffenhofen,48.128870000014025,11.364023000001788,658208,50431
8002247,Gernlinden,48.212764999966744,11.300378000011639,597826,49580
8002275,Gilching-Argelsried,48.10567399999181,11.299598000009548,576190,43172
8002347,Grafing Bahnhof,48.04322599996268,11.940423000009728,494648,45701
8002348,Grafing Stadt,48.04721700002917,11.96275800000549,372670,28626
8002351,Grafrath,48.13211099995483,11.15327599999748,432731,35170
8002383,Gronsdorf,48.11840099993008,11.698619000007845,856078,59768
8002420,Großhelfendorf,47.9460599999891,11.781259999997053,233278,19139
8002422,Großhesselohe Isartalbf,48.07106800003166,11.530945000004802,360262,41524
8002435,Grub(Oberbay),48.16452299994954,11.782559000006211,480408,39344
8002339,Gräfelfing,48.11977399994872,11.425571000002826,622826,41331
8002377,Gröbenzell,48.19491899994754,11.374106999993758,615050,49613
8002491,Haar,48.111264999963645,11.73129999999127,767789,59761
8002534,Hallbergmoos,48.30920800003951,11.714338000000822,515012,45653
8002610,Harthaus,48.13350200001094,11.387866999991262,676261,50442
8006189,Hebertshausen,48.29144500004332,11.45544799999426,446070,35759
8002715,Heimstetten,48.15875500003376,11.759658999985474,552646,40238
8002792,Herrsching,47.99884899999335,11.170570999996976,182887,39277
8002940,Hohenbrunn,48.04696599999458,11.698454000010894,579206,41837
8002955,Hohenschäftlarn,47.99129900003052,11.45751300000114,345396,38922
8002980,Holzkirchen,47.88438399998578,11.697234000000432,146150,34566
8002894,Höhenkirchen-Siegertsbrunn,48.01846500000728,11.719226000005955,506930,41712
8002899,Höllriegelskreuth,48.04345200001149,11.509751999998583,336188,42399
8003039,Icking,47.95324900001164,11.43664700000414,317361,38916
8003092,Ismaning,48.226040000050794,11.679405999998615,532146,45914
8003290,Kirchseeon,48.070886000029425,11.886948999988768,632398,45397
8003317,Kleinberghofen,48.354045000009116,11.275477999997793,171098,21757
