event_id,stop_id,richtung,t0,n_trips,t0_date,peak_t0,terzil,dauer_min,station_name,stunde
117,8000262,Ost,2025-05-01 11:04:03.575012+00:00,6,2025-05-01,-47.14285714285714,niedrig,58.184870616666664,Ostbahnhof,11
119,8000262,Ost,2025-05-02 13:43:20.666444+00:00,4,2025-05-02,-22.0,mittel,62.18983386666666,Ostbahnhof,13
120,8000262,Ost,2025-05-02 20:07:59.013980+00:00,36,2025-05-02,759.0,hoch,67.55133306666667,Ostbahnhof,20
121,8000262,Ost,2025-05-04 12:25:49.372033+00:00,134,2025-05-04,,,358.98548423333335,Ostbahnhof,12
123,8000262,Ost,2025-05-05 16:29:11.201883+00:00,3,2025-05-05,-9.333333333333314,mittel,17.772759933333337,Ostbahnhof,16
124,8000262,Ost,2025-05-08 10:19:04.519063+00:00,5,2025-05-08,-103.33333333333334,niedrig,0.00969005,Ostbahnhof,10
125,8000262,Ost,2025-05-09 03:36:24.494049+00:00,51,2025-05-09,80.0,mittel,172.28494861666667,Ostbahnhof,3
127,8000262,Ost,2025-05-15 12:17:06.565401+00:00,4,2025-05-15,334.44444444444446,hoch,0.8296016833333333,Ostbahnhof,12
130,8000262,Ost,2025-05-21 16:11:29.046932+00:00,18,2025-05-21,-283.33333333333337,niedrig,32.83082726666667,Ostbahnhof,16
131,8000262,Ost,2025-05-22 10:04:04.191899+00:00,5,2025-05-22,-67.77777777777777,niedrig,66.46420568333333,Ostbahnhof,10
133,8000262,Ost,2025-05-24 10:17:36.756599+00:00,41,2025-05-24,36.25,mittel,50.12488543333333,Ostbahnhof,10
141,8000262,Ost,2025-05-31 17:20:17.812485+00:00,5,2025-05-31,742.8571428571429,hoch,11.801112283333334,Ostbahnhof,17
142,8000262,Ost,2025-06-03 04:08:33.760390+00:00,9,2025-06-03,-56.66666666666666,niedrig,58.53086811666667,Ostbahnhof,4
148,8000262,Ost,2025-06-16 05:01:57.858391+00:00,4,2025-06-16,441.1111111111111,hoch,21.058776416666667,Ostbahnhof,5
152,8000262,Ost,2025-06-18 22:46:00.728639+00:00,5,2025-06-18,200.0,hoch,19.1285262,Ostbahnhof,22
160,8000262,Ost,2025-06-19 20:37:09.150726+00:00,17,2025-06-19,2013.75,hoch,49.05866195,Ostbahnhof,20
165,8000262,Ost,2025-06-20 18:43:09.638911+00:00,8,2025-06-20,490.0,hoch,34.657563366666665,Ostbahnhof,18
166,8000262,Ost,2025-06-21 20:55:47.965847+00:00,4,2025-06-21,650.0,hoch,44.05165736666667,Ostbahnhof,20
170,8000262,Ost,2025-06-24 07:52:20.575115+00:00,33,2025-06-24,761.6666666666667,hoch,72.94776931666667,Ostbahnhof,7
174,8000262,Ost,2025-06-24 20:01:57.766335+00:00,4,2025-06-24,583.5714285714286,hoch,23.134680783333334,Ostbahnhof,20
176,8000262,Ost,2025-06-25 16:17:35.898726+00:00,32,2025-06-25,460.0,hoch,57.72379786666667,Ostbahnhof,16
178,8000262,Ost,2025-06-26 12:11:43.118919+00:00,7,2025-06-26,17.142857142857167,mittel,40.838955166666665,Ostbahnhof,12
179,8000262,Ost,2025-06-27 02:30:40.982056+00:00,11,2025-06-27,,,0.08638231666666667,Ostbahnhof,2
198,8000262,Ost,2025-07-02 07:17:46.648100+00:00,95,2025-07-02,323.3333333333333,hoch,148.90392179999998,Ostbahnhof,7
202,8000262,Ost,2025-07-02 23:17:24.352214+00:00,3,2025-07-02,-516.0,niedrig,0.00042621666666666663,Ostbahnhof,23
204,8000262,Ost,2025-07-03 13:16:31.533227+00:00,3,2025-07-03,-114.375,niedrig,0.007332733333333333,Ostbahnhof,13
208,8000262,Ost,2025-07-05 14:17:04.508399+00:00,10,2025-07-05,243.33333333333334,hoch,41.30683446666667,Ostbahnhof,14
210,8000262,Ost,2025-07-07 05:49:57.087075+00:00,8,2025-07-07,133.5,mittel,48.04246071666667,Ostbahnhof,5
211,8000262,Ost,2025-07-07 13:37:37.827384+00:00,8,2025-07-07,457.77777777777777,hoch,52.61761815,Ostbahnhof,13
213,8000262,Ost,2025-07-08 14:18:08.749963+00:00,26,2025-07-08,384.375,hoch,31.26482348333333,Ostbahnhof,14
216,8000262,Ost,2025-07-08 20:16:15.487216+00:00,6,2025-07-08,478.75,hoch,0.0038729833333333336,Ostbahnhof,20
232,8000262,Ost,2025-07-12 12:50:52.946415+00:00,11,2025-07-12,-50.0,niedrig,118.99259653333334,Ostbahnhof,12
243,8000262,Ost,2025-07-17 17:50:03.571107+00:00,4,2025-07-17,161.1111111111111,hoch,33.04142361666667,Ostbahnhof,17
250,8000262,Ost,2025-07-21 08:11:16.900618+00:00,64,2025-07-21,707.7777777777778,hoch,158.09465096666665,Ostbahnhof,8
252,8000262,Ost,2025-07-21 17:07:06.442873+00:00,10,2025-07-21,-308.8888888888889,niedrig,103.66100461666666,Ostbahnhof,17
253,8000262,Ost,2025-07-23 09:18:10.407447+00:00,7,2025-07-23,,,0.6495111,Ostbahnhof,9
269,8000262,Ost,2025-08-05 09:55:29.624577+00:00,4,2025-08-05,12.0,mittel,5.495771866666667,Ostbahnhof,9
271,8000262,Ost,2025-08-05 21:17:57.038057+00:00,7,2025-08-05,-51.428571428571416,niedrig,3.836125733333333,Ostbahnhof,21
273,8000262,Ost,2025-08-06 07:04:57.318738+00:00,13,2025-08-06,-53.5,niedrig,14.970093850000001,Ostbahnhof,7
275,8000262,Ost,2025-08-07 12:44:16.756217+00:00,4,2025-08-07,-186.0,niedrig,0.11145836666666667,Ostbahnhof,12
279,8000262,Ost,2025-08-11 08:23:06.350434+00:00,4,2025-08-11,-195.55555555555554,niedrig,23.415342333333335,Ostbahnhof,8
281,8000262,Ost,2025-08-12 20:17:53.895045+00:00,9,2025-08-12,-60.0,niedrig,8.0487898,Ostbahnhof,20
283,8000262,Ost,2025-08-13 04:12:59.163648+00:00,11,2025-08-13,102.0,mittel,45.81383231666667,Ostbahnhof,4
285,8000262,Ost,2025-08-15 18:04:32.981934+00:00,4,2025-08-15,-114.0,niedrig,7.67841345,Ostbahnhof,18
286,8000262,Ost,2025-08-16 11:17:28.585789+00:00,18,2025-08-16,-60.0,niedrig,0.35341875,Ostbahnhof,11
287,8000262,Ost,2025-08-18 05:18:30.869237+00:00,41,2025-08-18,438.0,hoch,215.14057295,Ostbahnhof,5
290,8000262,Ost,2025-08-20 21:16:24.097229+00:00,17,2025-08-20,487.5,hoch,46.39642301666667,Ostbahnhof,21
293,8000262,Ost,2025-08-21 13:11:26.747634+00:00,3,2025-08-21,167.0,hoch,9.6118456,Ostbahnhof,13
294,8000262,Ost,2025-08-21 20:09:19.752108+00:00,8,2025-08-21,-61.111111111111114,niedrig,0.013318,Ostbahnhof,20
297,8000262,Ost,2025-08-23 17:40:10.451932+00:00,4,2025-08-23,474.0,hoch,26.754046416666664,Ostbahnhof,17
303,8000262,Ost,2025-09-01 05:30:27.344929+00:00,3,2025-09-01,258.8888888888889,hoch,36.26850721666666,Ostbahnhof,5
310,8000262,Ost,2025-09-06 16:17:05.295323+00:00,6,2025-09-06,-245.0,niedrig,23.29808016666667,Ostbahnhof,16
312,8000262,Ost,2025-09-07 11:51:08.452024+00:00,4,2025-09-07,247.14285714285714,hoch,20.32137315,Ostbahnhof,11
315,8000262,Ost,2025-09-08 08:29:38.237302+00:00,6,2025-09-08,27.0,mittel,70.27662338333333,Ostbahnhof,8
318,8000262,Ost,2025-09-18 14:41:15.724707+00:00,13,2025-09-18,50.0,mittel,26.802101750000002,Ostbahnhof,14
322,8000262,Ost,2025-09-29 20:17:42.316534+00:00,107,2025-09-29,141.11111111111111,mittel,68.25391208333333,Ostbahnhof,20
325,8000262,Ost,2025-10-06 12:17:30.755548+00:00,46,2025-10-06,-142.5,niedrig,42.069959716666666,Ostbahnhof,12
330,8000262,Ost,2025-10-08 08:31:48.462117+00:00,6,2025-10-08,153.0,mittel,66.00207971666667,Ostbahnhof,8
336,8000262,Ost,2025-10-14 10:17:20.888300+00:00,40,2025-10-14,-432.5,niedrig,0.10285433333333334,Ostbahnhof,10
340,8000262,Ost,2025-10-14 20:17:53.826510+00:00,40,2025-10-14,-60.0,niedrig,38.004439866666665,Ostbahnhof,20
342,8000262,Ost,2025-10-15 09:57:14.853335+00:00,156,2025-10-15,797.7777777777778,hoch,88.29769771666666,Ostbahnhof,9
348,8000262,Ost,2025-10-16 15:16:34.461130+00:00,6,2025-10-16,142.22222222222223,mittel,7.9985207,Ostbahnhof,15
353,8000262,Ost,2025-10-18 04:51:38.094696+00:00,4,2025-10-18,1518.0,hoch,25.998497566666668,Ostbahnhof,4
354,8000262,Ost,2025-10-23 05:55:48.532094+00:00,31,2025-10-23,318.0,hoch,86.13863211666667,Ostbahnhof,5
358,8000262,Ost,2025-10-28 19:16:58.623440+00:00,4,2025-10-28,-73.0,niedrig,1.9957088833333332,Ostbahnhof,19
359,8000262,Ost,2025-10-29 13:16:42.926273+00:00,10,2025-10-29,69.0,mittel,24.2115735,Ostbahnhof,13
360,8000262,Ost,2025-11-09 13:21:45.559363+00:00,4,2025-11-09,-66.66666666666666,niedrig,18.005251366666666,Ostbahnhof,13
364,8000262,Ost,2025-11-10 10:16:34.809192+00:00,97,2025-11-10,1492.5,hoch,56.03950783333333,Ostbahnhof,10
367,8000262,Ost,2025-11-10 19:17:02.852305+00:00,150,2025-11-10,-133.33333333333331,niedrig,101.99507555,Ostbahnhof,19
369,8000262,Ost,2025-11-11 09:05:03.184487+00:00,61,2025-11-11,196.42857142857144,hoch,12.072862116666666,Ostbahnhof,9
381,8000262,Ost,2025-11-12 22:01:55.236227+00:00,9,2025-11-12,-200.0,niedrig,16.2877497,Ostbahnhof,22
384,8000262,Ost,2025-11-13 06:14:10.605190+00:00,3,2025-11-13,-271.5,niedrig,0.0032422666666666665,Ostbahnhof,6
385,8000262,Ost,2025-11-13 15:16:18.084714+00:00,36,2025-11-13,-228.75,niedrig,0.31143238333333334,Ostbahnhof,15
393,8000262,Ost,2025-11-16 22:17:17.915567+00:00,9,2025-11-16,-260.625,niedrig,0.0022930000000000003,Ostbahnhof,22
399,8000262,Ost,2025-11-17 23:16:31.080913+00:00,5,2025-11-17,-137.14285714285714,niedrig,1.9937476166666668,Ostbahnhof,23
411,8000262,Ost,2025-11-18 17:46:20.893720+00:00,3,2025-11-18,-281.25,niedrig,36.00627521666667,Ostbahnhof,17
