code_a,code_b,lift,gemeinsame_fenster
32,61,1.581758299488796,67
25,57,1.575550456869138,67
13,51,1.574956565730528,9
2,58,1.5736975843705283,34
38,50,1.5676819593575293,21
32,67,1.5657677717301663,65
8,47,1.5638066497027598,28
7,51,1.563043647767956,118
3,55,1.562323836044419,56
2,33,1.554941706663917,108
5,28,1.545320949917705,47
10,45,1.5451943388631415,33
58,64,1.5429448481187387,52
48,60,1.5306670462049334,63
35,57,1.5285190999476712,3
43,62,1.5253927499020847,69
24,43,1.5253927499020845,19
12,43,1.5253927499020845,3
18,43,1.5253927499020845,35
9,43,1.5253927499020845,3
43,65,1.5253927499020845,6
33,55,1.524348373931612,52
33,58,1.520089624516642,8
25,33,1.5091274397244547,35
7,25,1.5051536814132045,105
13,36,1.5021605490640857,52
22,34,1.5010341770905151,50
7,8,1.4995150516687772,64
36,54,1.493210237947517,65
31,60,1.4839623440302359,11
57,61,1.4835199621524409,73
40,57,1.4827838827838828,88
58,67,1.4803198378287064,12
32,51,1.4780679847759468,57
34,63,1.4756320602474449,15
14,61,1.4754290119764457,19
24,38,1.473385300148054,3
37,44,1.4721842355494779,25
28,45,1.4671127100376107,99
8,25,1.4667131599135226,28
26,31,1.4657318484033286,6
26,43,1.4635525032844325,71
22,23,1.4571727887989092,10
15,43,1.4513445581592648,98
5,6,1.450863679140339,24
10,38,1.450686086840451,37
5,32,1.4496060352892324,124
15,32,1.448130551538938,3
6,38,1.4373612096798867,63
5,58,1.4368117306740888,24
41,58,1.4355913650650518,39
43,68,1.43089939371346,105
23,67,1.4285800087861398,95
8,55,1.4245252953960248,40
25,49,1.420771032246442,6
3,42,1.420549970567676,94
45,60,1.4138073937223592,17
13,23,1.4108082000643984,14
6,36,1.4086783061020773,66
43,69,1.4080548460634625,72
23,57,1.4021952073900126,111
15,64,1.4007757221609212,12
21,45,1.3983670026634043,98
43,56,1.3982766874102444,11
11,45,1.3930161085205595,3
31,69,1.390566112587773,6
64,69,1.3873067248324507,9
25,50,1.3866725274725273,3
51,69,1.3820131687891812,2
7,32,1.3807480535235275,112
48,69,1.3774134469512036,33
28,37,1.3709324155193992,1
2,13,1.365414080556782,22
61,67,1.3547339826409595,56
2,68,1.3533307701093769,8
38,62,1.3523826426479724,10
17,43,1.3498079729349381,122
47,58,1.3424341587339412,9
11,43,1.334718656164324,21
21,25,1.331631748533157,18
48,50,1.3283274404780334,51
10,48,1.3269047796833213,97
61,68,1.3256183344678922,3
7,69,1.325292549672004,4
2,28,1.3218370354326292,52
21,31,1.3193463372951857,57
38,69,1.3159723407305268,11
55,67,1.313182493419395,69
13,21,1.3114555099190182,3
42,63,1.309416928680385,4
