seed,puenktlichkeitsquote
0,0.839279494793958
1,0.8389368286743804
2,0.8391309030825395
3,0.8392704049587155
4,0.8392766705395179
5,0.8393219453035267
6,0.8393377835647087
7,0.8387857265593677
8,0.8394549247025924
9,0.8391317698713513
10,0.8385929758839753
11,0.8394821813648541
12,0.8395712484237075
13,0.8395506308222694
14,0.8399219768910404
15,0.8387594980797609
16,0.839209637979911
17,0.8394698355499929
18,0.8392241092775423
19,0.83931735201157
20,0.8394269703625916
21,0.8393117420040885
22,0.838965861037577
23,0.8386720451055443
24,0.8393719889843547
25,0.8386055209016037
26,0.8389918485297791
27,0.8394132305103629
28,0.8394141682192446
29,0.8391155043486633
30,0.8394773446505052
31,0.8394245553892936
32,0.8393772881177202
33,0.8385344691266354
34,0.8398359265794358
35,0.8389829731439626
36,0.8391898179451154
37,0.8392073968953399
38,0.8394246899320739
39,0.8387537478338208
40,0.8389043958914846
41,0.8394449677858533
42,0.8392467117551744
43,0.8392108598446564
44,0.8394585823768839
45,0.8391718029765766
46,0.8388860362549398
47,0.8385684235611139
48,0.8383764767896227
49,0.8390645735778479
50,0.8392664805826355
51,0.8394934991727886
52,0.8386667247255001
53,0.8391659352520459
54,0.8391569758779018
55,0.8389916575156866
56,0.8386371450182218
57,0.8383760133300023
58,0.8387480517099111
59,0.8395380662138713
60,0.8385230236171393
61,0.8392794511064295
62,0.8388038496791934
63,0.8389772432966394
64,0.8386288066107672
65,0.8394731595988204
66,0.8390779831339497
67,0.8394150376319065
68,0.8391165818548572
69,0.8388918428338314
70,0.8392513724456465
71,0.8394565743004929
72,0.8398834749404654
73,0.8393707572639308
74,0.8396617217893257
75,0.8396548641325527
76,0.8383717120712605
77,0.8393201335713844
78,0.8389767776563148
79,0.8399814800807726
80,0.8390745324532454
81,0.8390296446537637
82,0.8389065902578796
83,0.8394668683673703
84,0.839351769090084
85,0.839028504891399
86,0.8384828209060255
87,0.8397225482285631
88,0.8393823243530728
89,0.8390551693631377
90,0.8381162096888762
91,0.8395088886750168
92,0.8391346995650121
93,0.8392747887817744
94,0.8388301139541067
95,0.8392061749083598
96,0.8392288337175567
97,0.8385384070479976
98,0.8386626607907709
99,0.8391443590372549
