code,n_vorkommen,n_halte,n_tage,erstes_auftreten,letztes_auftreten,bedeutung,bedeutung_bekannt,ist_stoerungscode
86,343,101,13,2025-01-20 06:17:09.067419,2025-11-02 11:20:54.570236,UNBEKANNT (nicht in IRIS-Referenz),False,False
63,326,97,10,2025-02-10 08:30:36.532522,2025-12-13 09:41:56.800408,Technische Untersuchung am Zug,True,True
62,319,105,12,2025-01-01 06:35:53.929425,2025-11-29 09:22:24.232531,Behobener Defekt am Zug,True,True
84,202,61,5,2025-04-16 02:32:16.860430,2025-07-10 05:44:06.920941,UNBEKANNT (nicht in IRIS-Referenz),False,False
76,202,52,6,2025-01-15 04:57:28.479134,2025-11-04 16:17:25.640837,UNBEKANNT (nicht in IRIS-Referenz),False,False
56,142,35,1,2025-12-16 21:18:19.997741,2025-12-16 22:50:46.566940,Laden der Antriebsbatterie,True,True
96,125,61,4,2025-03-12 14:16:51.155624,2025-09-08 06:39:03.566654,UNBEKANNT (nicht in IRIS-Referenz),False,False
24,82,32,7,2025-05-17 19:17:25.406990,2025-11-30 13:00:39.244533,Verspätung im Ausland,True,True
90,75,48,4,2025-05-23 17:17:30.235654,2025-11-25 23:18:05.767672,UNBEKANNT (nicht in IRIS-Referenz),False,False
70,68,34,1,2025-12-10 19:37:49.878732,2025-12-10 20:55:47.586098,WLAN nicht verfügbar,True,False
97,57,27,2,2025-02-28 11:04:03.182770,2025-10-05 10:25:18.227320,UNBEKANNT (nicht in IRIS-Referenz),False,False
12,56,28,1,2025-10-20 15:16:05.924297,2025-10-20 15:18:09.405381,Warten auf ein verspätetes Schiff,True,True
80,56,27,3,2025-01-14 21:23:23.425052,2025-08-31 06:47:31.136200,UNBEKANNT (nicht in IRIS-Referenz),False,False
94,43,37,2,2025-04-30 15:50:41.535665,2025-10-27 09:05:38.449821,UNBEKANNT (nicht in IRIS-Referenz),False,False
30,42,21,1,2025-12-28 04:27:22.036843,2025-12-28 05:09:27.731211,Personalausfall im Stellwerk,True,True
93,38,24,2,2025-07-31 12:16:28.301906,2025-11-08 14:40:11.625897,UNBEKANNT (nicht in IRIS-Referenz),False,False
71,38,21,1,2025-01-14 12:45:55.252242,2025-01-14 13:34:59.086405,Eingeschränktes WLAN,True,False
9,27,27,2,2025-03-09 21:45:03.817364,2025-07-29 04:59:58.821703,Streikauswirkungen,True,True
65,25,25,1,2025-03-06 15:26:51.274773,2025-03-06 16:23:00.216666,Erdrutsch,True,True
53,23,23,1,2025-09-04 18:39:52.007960,2025-09-04 19:42:49.477964,Unwetterauswirkungen,True,True
74,22,11,1,2025-11-04 19:19:30.210455,2025-11-04 19:21:28.111920,UNBEKANNT (nicht in IRIS-Referenz),False,False
