code,1,2,3,4,5,6,7,8,9,10,11,12
2,0.05138286879856144,0.1383539768381218,0.055247654960479876,0.07634294609428467,0.09480803553456166,0.025523691944336343,0.06841208282451455,0.11413196634415385,0.03811108576336236,0.1291348515143789,0.0422174210604007,0.16633341832284385
3,0.03454520128151553,0.016698008079119656,0.08542276083019919,0.1562543529739518,0.09261387379857919,0.04866624878116729,0.11267237776849143,0.04015183173143892,0.012571388772809583,0.15992826298927426,0.13187769884385012,0.10859799414960301
5,0.1518523483934397,0.101383861405312,0.025427894713321714,0.09195453665221731,0.05286678285739822,0.13439394616496106,0.09825564940191565,0.08032056724910995,0.003053730765220241,0.13953315159911217,0.05562258866991405,0.06533494212807794
7,0.08199881524914909,0.19986144439201198,0.05750057731503328,0.1894898543158064,0.039739354812799325,0.13007158706412714,0.08542254440305626,0.05490014959989558,0.0659343969316961,0.026365726563519713,0.025120734143917106,0.043594815208988044
8,0.20605986956697858,0.11722769068740632,0.14371936646818165,0.061813910155142385,0.15611455421881962,0.01551423826305343,0.03661846315874752,0.1198606554056791,0.00105318588730911,0.026127111435168306,0.05553530198079961,0.06035565277271438
23,0.08340905830025348,0.06274809890477785,0.06250896743029317,0.04591324310105696,0.06523506623941844,0.2575445980199914,0.3383710363958104,0.015543545841503659,0.025634894064756802,0.03290449088909082,0.005643502797838251,0.004543498015208762
31,0.055433347998240214,0.11783816711225423,0.0361433551050797,0.022132728687942062,0.010897153879995939,0.023520254492537817,0.07617855088158652,0.020508308233781178,0.002978104165961623,0.12846458424989002,0.43673220751971303,0.0691732376730177
33,0.14735692591202265,0.09422243456301403,0.18762584035764257,0.01344572228099512,0.04084905982322629,0.09688427806026687,0.021874893355629116,0.09725966624577688,0.023239941302938265,0.17762686414360304,0.05538682046206873,0.044227553492816436
34,0.05244119749744801,0.09647060497309294,0.040870984837437264,0.05129947039512294,0.05067347671908178,0.09360383847940446,0.1099436961369788,0.06672879179663742,0.03937002272783858,0.077673010780607,0.24790060927679947,0.07302429637955135
36,0.09858204557982171,0.11514702248579195,0.14424740073368686,0.05306874988120355,0.04290927752751326,0.060044477390659746,0.08923038908213111,0.15018722320427286,0.01286803140027751,0.1121248408127578,0.03809089353937389,0.08349964836250974
38,0.056880357042819,0.06293066422662509,0.06372430019980953,0.0705869171444044,0.0557319191051521,0.0968235887285018,0.0536217811058617,0.16940860114657055,0.0005975612033388732,0.051791749920636405,0.0494668633638961,0.26843569681238444
40,0.14716656491091748,0.09865682411056224,0.031220513959038687,0.1266859077537881,0.02883387911416995,0.017733251928733974,0.20119886773602708,0.1534106677027252,0.044596769717489035,0.04437475717378032,0.05444857634456347,0.05167341954820447
41,0.106893674436771,0.025991087755428126,0.07923376000852167,0.27624407477763774,0.03213379018942958,0.08871411578816553,0.07978411774104781,0.10650309798142986,0.02071830560832283,0.07934028085997834,0.05995348589486392,0.04449020895840361
42,0.12451937296657793,0.08364389233954451,0.04584442472641231,0.046968352558414674,0.06228926353149956,0.11611949127477078,0.07749186631174208,0.009878734102336587,0.0183969239869861,0.23809523809523808,0.08092280390417037,0.09582963620230701
43,0.08017091386334586,0.07516811374877629,0.06278562237355666,0.06059041805069276,0.06404888016792137,0.05435321628426934,0.0844672728594086,0.06400719907318345,0.04047127424450344,0.15760690666427268,0.10403494371983464,0.15229523895023492
44,0.0911747765428675,0.069415704929923,0.07214625509311602,0.05783219915950253,0.06060541416899545,0.0458433773492331,0.09027881477056979,0.06273865648399002,0.030526697527572158,0.15416942210465687,0.1055314973227809,0.15973718454679267
45,0.0888167127791812,0.07778980712939572,0.0779101006455752,0.07373992541801996,0.07169493564296885,0.04555114479329564,0.04675407995509042,0.04458879666385982,0.04330566582461205,0.1286338666345884,0.10132723846184691,0.19988772605156582
48,0.10061956487114962,0.07322492275348008,0.05642977733889721,0.05648552225018316,0.048235275379861754,0.06484725894307648,0.06835918835409167,0.07461854553562897,0.04356066639059663,0.15434969579205554,0.11829070174879751,0.14097888064218136
55,0.1942,0.037333333333333336,0.05006666666666667,0.033466666666666665,0.14226666666666668,0.0874,0.12806666666666666,0.19553333333333334,0.0068,0.0992,0.025666666666666667,0.0
64,0.07624737361719364,0.07817971630846603,0.07072880540718426,0.01576251592706039,0.058257178779670744,0.13083394510121593,0.20100583078078457,0.046199022859023366,0.032301344201706196,0.11028698242327586,0.13939869545772895,0.04079858913669004
