minute_relativ_t0,impulsantwort_delay_s,ci_low,ci_high,n_ereignisse
-60,49.522799969908974,13.892455180692396,86.87636667661258,1055
-55,45.543951859303974,10.978212713327204,81.14218019859531,1065
-50,37.354840601660065,0.0066435300988911036,76.60602750076113,1069
-45,35.43254195444081,-3.252887852532981,77.57089462370848,1048
-40,36.420967593232845,-2.629357713644068,76.3492957381628,1033
-35,41.35600599580143,4.313523380398026,79.14651617715265,1051
-30,36.90632355603839,4.652535007971367,69.85478542624809,1052
-25,40.674253905884555,6.9160023557218056,73.84417531409723,1018
-20,47.40266478473475,12.870751126851987,78.9692343795713,1029
-15,61.28356620825788,24.355077229900456,96.79726916301424,973
-10,68.9209607258265,29.794061942751515,107.93770893065889,894
-5,159.89359376767337,115.07436762594226,209.9596957030916,842
0,251.65383750083015,204.53482730102934,302.8398460095913,956
5,263.23604550053756,210.45417811460894,316.05268684121063,1004
10,241.66873449316952,193.53240531899647,287.0643038331146,1062
15,185.60183147297988,143.81070551403468,225.55863056877712,1058
20,143.9672214009467,107.16957143434998,180.93377792187346,1063
25,124.43069541092463,89.47521729531653,157.35018554771426,1047
30,113.1548823026375,79.8727593360349,149.22349988494705,1058
35,88.58801138065289,55.25649363829877,124.22565731817136,1060
40,55.183253355987205,25.52825384350099,88.10562499414122,1037
45,55.32120573870574,27.246311678708814,84.44755515945272,1040
50,20.958752541807037,-6.8539329479104865,49.64183977063232,1046
55,17.321638858246004,-7.998627555484765,46.037040644862905,1036
60,23.726318054413067,-2.6897242345724255,53.18305774969621,1042
65,20.427458400429416,-7.794251173502755,50.523519203876035,1035
70,22.34749076521228,-8.216357218967312,54.355806318124955,1027
75,23.244560054993126,-8.972275947510587,55.06466347125729,1016
80,32.460990137155186,0.9505803055912613,64.10533252649044,1030
85,27.87250644021781,-2.105692423814586,59.00417309125407,1029
90,22.515151234138575,-10.73699390330422,58.62019325853206,1027
95,36.33381957302695,2.101603477770765,70.68538753530859,1003
100,46.934246187059294,15.35785640422527,77.91719051876201,1022
105,41.157694344662424,6.399777822259977,77.2443719043687,1034
110,35.88129668534081,6.314678853699711,67.47298829010018,1020
115,23.50608750349455,-5.791804134318599,50.43829836273941,1022
120,20.052099510400097,-6.592081216375789,45.12060624683344,1018
