code_a,code_b,anteil_b_folgt_a,n_a
61,48,0.5308687615526803,2705
15,48,0.5284974093264249,193
24,48,0.5277777777777778,36
3,48,0.5276645311589983,1717
41,48,0.5250917992656059,9804
63,43,0.5227272727272727,88
2,48,0.5227001985440106,7555
62,48,0.5217391304347826,92
17,43,0.5195530726256983,179
13,43,0.5158730158730159,378
21,48,0.5139005897219882,1187
67,48,0.508077810748434,3033
69,48,0.5079365079365079,126
32,48,0.5049370105549881,2937
24,31,0.5,36
47,48,0.49643794525684287,2667
33,48,0.4805333333333333,1875
62,36,0.4782608695652174,92
37,43,0.47643979057591623,191
49,43,0.461038961038961,308
62,44,0.45652173913043476,92
19,64,0.45098039215686275,51
55,44,0.4504963777837403,3727
26,34,0.4485981308411215,107
8,48,0.44752877454299256,1477
25,44,0.44377438808087977,2819
35,43,0.43119266055045874,109
10,48,0.4293628808864266,361
43,48,0.4263675013152469,70329
15,44,0.42487046632124353,193
22,44,0.42165242165242167,351
68,44,0.4215686274509804,102
24,44,0.4166666666666667,36
45,44,0.4118516433246534,14209
6,44,0.40241796200345425,579
26,45,0.40186915887850466,107
42,44,0.40056635345604324,7769
31,48,0.3931824095758522,7686
19,34,0.39215686274509803,51
57,44,0.38944365192582026,3505
48,44,0.3881867100488049,47946
49,36,0.38636363636363635,308
32,44,0.38508682328907046,2937
5,44,0.38334457181389076,5932
28,44,0.37863070539419086,964
18,23,0.3783783783783784,37
54,44,0.3779527559055118,508
23,44,0.3737864077669903,5150
68,36,0.3627450980392157,102
61,44,0.3626617375231054,2705
50,36,0.3620689655172414,116
35,31,0.3577981651376147,109
69,44,0.35714285714285715,126
37,44,0.35602094240837695,191
55,36,0.3555138180842501,3727
26,43,0.35514018691588783,107
36,44,0.3418867924528302,17225
17,44,0.3407821229050279,179
50,64,0.33620689655172414,116
54,45,0.3346456692913386,508
40,44,0.33029679694387304,3403
35,44,0.3302752293577982,109
63,44,0.32954545454545453,88
47,44,0.32920884889388824,2667
38,44,0.32533471314921414,15461
34,44,0.3192574066948827,20792
63,23,0.3181818181818182,88
3,44,0.31042516016307514,1717
64,44,0.30883130618720256,11346
26,36,0.308411214953271,107
7,44,0.30758538522637013,5036
17,38,0.30726256983240224,179
33,44,0.3072,1875
13,44,0.30687830687830686,378
3,34,0.30576587070471756,1717
15,36,0.30569948186528495,193
35,45,0.30275229357798167,109
6,45,0.3022452504317789,579
37,48,0.29842931937172773,191
14,48,0.2907216494845361,970
17,34,0.2905027932960894,179
50,44,0.28448275862068967,116
51,44,0.2823771899690828,2911
61,36,0.27948243992606286,2705
49,44,0.2792207792207792,308
69,43,0.2777777777777778,126
41,44,0.2766217870257038,9804
58,44,0.2763578274760383,626
33,36,0.2752,1875
21,44,0.2746419545071609,1187
23,34,0.27436893203883495,5150
22,36,0.27350427350427353,351
26,44,0.27102803738317754,107
18,44,0.2702702702702703,37
15,41,0.2694300518134715,193
58,36,0.26517571884984026,626
15,45,0.26424870466321243,193
67,44,0.26376524892845365,3033
22,45,0.2621082621082621,351
22,64,0.2621082621082621,351
40,34,0.26153394064061125,3403
62,38,0.2608695652173913,92
44,45,0.25649940124386755,25887
55,45,0.25596994902066006,3727
68,7,0.2549019607843137,102
55,34,0.2546283874429836,3727
51,36,0.2542081758845757,2911
