station_name,niedrig,mittel,hoch
Donnersbergerbrücke,0.09375,0.08550573514077164,0.08654848800834203
Hackerbrücke,0.09479166666666666,0.10531803962460896,0.07924921793534932
Hauptbahnhof (tief),0.0875,0.09280500521376434,0.08446298227320125
Hirschgarten,0.10625,0.08967674661105318,0.08759124087591241
Isartor,0.08020833333333334,0.09176225234619395,0.10010427528675704
Karlsplatz (Stachus),0.08645833333333333,0.08550573514077164,0.08654848800834203
Laim,0.09166666666666666,0.08133472367049009,0.08759124087591241
Leuchtenbergring,0.041666666666666664,0.05735140771637122,0.05213764337851929
Marienplatz,0.0875,0.08029197080291971,0.09801876955161627
Ostbahnhof,0.09375,0.08967674661105318,0.08759124087591241
Pasing,0.057291666666666664,0.05526590198123045,0.061522419186652764
Rosenheimer Platz,0.07916666666666666,0.08550573514077164,0.0886339937434828
