stop_id,station_name,mean,std,count
8000262,Ostbahnhof,105.84650807716655,288.31427553099115,281
8004128,Donnersbergerbrücke,75.62531256242576,219.18493330122226,280
8004129,Hackerbrücke,73.87534624612525,221.34151014058156,287
8004131,Isartor,91.93081477192926,253.8339335545678,282
8004132,Karlsplatz (Stachus),104.23854784155273,270.20522999741576,277
8004134,Leuchtenbergring,118.74588750967668,301.0272674825144,193
8004135,Marienplatz,86.42998369649032,227.15634618322787,281
8004136,Rosenheimer Platz,105.33597043305299,340.4054345085552,268
8004151,Laim,85.8123017976411,255.7774384994271,277
8004158,Pasing,127.0541552841311,334.8665924408471,208
8004179,Hirschgarten,69.93352252685585,207.16403530422824,297
8098263,Hauptbahnhof (tief),75.25279038223125,216.97930133561314,277
