stop_id,stop_name,stop_lat,stop_lon
8002894,Höhenkirchen-Siegertsbrunn,48.018465,11.719226
428941,Höhenkirchen-Siegertsbrunn,48.018391,11.719521
8002899,Höllriegelskreuth,48.043452,11.509752
624683,"Höllriegelskreuth, Pullach i. Isartal",48.042997,11.509692
8002912,Hörlkofen,48.242591,11.942341
8003039,Icking,47.953249,11.436647
371003,"Isartor, München",48.134434,11.578502
8003092,Ismaning,48.22604,11.679406
624717,Ismaning,48.225869,11.679293
623756,"Johanneskirchen, München",48.169356,11.647601
172092,"Johanneskirchner Straße, München",48.167506,11.643643
8003290,Kirchseeon,48.070886,11.886949
8003299,Kissing,48.300922,10.959553
8003317,Kleinberghofen,48.354045,11.275478
206930,"Kleinberghofen Bahnhof, Erdweg",48.35494,11.27432
8003438,Kreuzstraße,47.916494,11.759014
591102,"Kreuzstraße Bahnhof, Valley",47.91683,11.758889
202903,"Laim, München",48.143415,11.501918
624809,"Laimer Platz, München",48.135177,11.499729
8003528,Langenbach(Oberbay),48.438097,11.852854
341521,"Langwied, München",48.163062,11.432243
201700,"Leienfelsstraße, München",48.152638,11.427244
8003720,Lochham,48.128247,11.43089
341535,"Lochhausen, München",48.177152,11.407928
8003735,Lohhof,48.287937,11.580813
625561,"Lohhof Bahnhof (Südseite), Unterschleißheim",48.288413,11.581998
623571,Maisach,48.214785,11.2574
8003824,Maisach,48.214237,11.257236
8003828,Malching(Oberbay),48.21545,11.219064
161501,"Malching(Oberbay) Bahnhof, Maisach",48.216055,11.219491
8004204,Mammendorf,48.216826,11.174618
8003072,Markt Indersdorf,48.352391,11.378446
625886,Markt Schwaben,48.193033,11.862118
8003879,Markt Schwaben,48.193157,11.861509
8003905,Marzling,48.410401,11.800108
8003979,Merching,48.245769,10.979397
8003982,Mering,48.262698,10.988291
8004008,Mering-St Afra,48.274282,10.971202
200300,"Moosach, München",48.178126,11.507751
8004128,München Donnersbergerbrücke,48.142623,11.536537
8004167,München Flugh. Besucherpark Bahnhof,48.352095,11.764185
8077708,München Flughafen Besucherpark Bahnhof,48.35275,11.764275
8004168,München Flughafen Terminal,48.353728,11.78597
8071168,München Flughafen Terminal2 Ankunftebene,48.353189,11.786304
8004129,München Hackerbrücke,48.141969,11.548572
8004130,München Harras,48.117747,11.536311
8070193,München Hauptbahnhof Nord,48.141411,11.559081
8000261,München Hbf,48.140232,11.558335
8098263,München Hbf (tief),48.141172,11.560493
8098261,München Hbf Gl.27-36,48.141529,11.556708
8098262,München Hbf Gl.5-10,48.140094,11.555371
8005419,München Heimeranplatz,48.132961,11.5315
8004179,München Hirschgarten,48.14354,11.519245
8004131,München Isartor,48.134202,11.583234
8004132,München Karlsplatz,48.139452,11.565619
8004133,München Leienfelsstr.,48.154538,11.428524
8070934,München Lenbachplatz,48.140859,11.568528
8004134,München Leuchtenbergring,48.13425,11.615986
8004135,München Marienplatz,48.137048,11.575386
8070914,München Odeonsplatz,48.142946,11.577816
8000262,München Ost,48.12744,11.604971
8077577,München Ost Friedenstraße,48.127029,11.606857
8004136,München Rosenheimer Platz,48.129168,11.593049
8004137,München Siemenswerke,48.094503,11.532799
8004138,München St.Martin-Str.,48.118543,11.595785
8099501,München Süd,48.120905,11.555407
8004140,München-Allach,48.189932,11.468036
8004141,München-Aubing,48.155968,11.413309
8004142,München-Berg am Laim,48.134001,11.633295
8004143,München-Daglfing,48.149622,11.64933
8004144,München-Englschalking,48.156915,11.648335
8004145,München-Fasanerie,48.197811,11.525924
8004146,München-Fasangarten,48.092746,11.606009
8004147,München-Feldmoching,48.213813,11.541318
8070786,München-Flughafen Terminal 1,48.353728,11.78597
8004181,München-Freiham,48.14,11.410112
8004148,München-Giesing,48.110803,11.596346
8004149,München-Johanneskirchen,48.167638,11.646058
8004150,München-Karlsfeld,48.211179,11.459568
8004151,München-Laim,48.144371,11.503669
8004152,München-Langwied,48.163112,11.432508
8004153,München-Lochhausen,48.176505,11.407895
8004154,München-Mittersendling,48.107824,11.536354
8004155,München-Moosach,48.180258,11.506237
8004156,München-Neuaubing,48.141706,11.422197
8006696,München-Neuperlach Süd,48.088685,11.645175
8004157,München-Obermenzing,48.164223,11.478117
8004158,München-Pasing,48.149852,11.461872
8071290,München-Pasing Carossastraße,48.151111,11.46363
8004159,München-Perlach,48.093426,11.631208
8004160,München-Riem,48.143983,11.678049
8004161,München-Solln,48.079921,11.526954
8004162,München-Trudering,48.126066,11.663375
8004139,München-Untermenzing,48.177673,11.472792
8004163,München-Westkreuz,48.149026,11.44394
624969,"Nannhofen Bahnhof, Mammendorf",48.2167,11.174539
222001,Neubiberg,48.07663,11.6601
8004252,Neubiberg,48.075911,11.660025
8004279,Neufahrn(b Freising),48.32131,11.660681
8004249,Neugilching,48.098966,11.288666
8004404,Niederroth,48.320935,11.390041
244041,"Niederroth, Markt Indersdorf",48.323132,11.387556
8004532,Obergriesbach,48.421926,11.07976
8004580,Oberschleißheim,48.257226,11.55783
8004667,Olching,48.209995,11.335602
121052,"Ostbahnhof Friedenstraße, München",48.125992,11.60533
623617,"Ostbahnhof, München",48.128054,11.603646
8004703,Ostermünchen,47.942148,12.041588
8004723,Ottenhofen(Oberbay),48.218134,11.879385
8004726,Otterfing,47.910959,11.682282
591178,Otterfing,47.910722,11.682006
8004733,Ottobrunn,48.063695,11.677824
8004747,Paindorf,48.44268,11.487263
166162,"Pasing Bahnhof Nord, München",48.150931,11.463578
130010,"Pasing, München",48.149755,11.458685
8004761,Peiß,47.960102,11.776595
202348,"Peiß Gasthaus zur Post, Aying",47.961396,11.777668
8004763,Peißenberg Nord,47.81568,11.077304
624455,"Perlach, München",48.09374,11.630578
207399,Petershausen (S) Ost,48.41261,11.469914
8004775,Petershausen(Obb),48.41345,11.469881
8004827,Planegg,48.105303,11.413556
8004854,Poing,48.171329,11.809438
620647,Poing (S) Nord,48.171764,11.809073
306082,"Posener Platz, München",48.147963,11.640527
8004874,Possenhofen,47.96196,11.306475
248741,"Possenhofen, Pöcking",47.962715,11.306182
8004893,Puchheim,48.172179,11.353061
364833,"Puchheim Bahnhof (S) Südseite, Puchheim",48.17177,11.352774
621343,"Puchheimer Straße, Gröbenzell",48.192231,11.373067
8004899,Pullach,48.05898,11.521848
8004900,Pulling(b Freising),48.36339,11.707084
190021,"Pulling, Freising",48.364491,11.703478
8004925,Raisting,47.912076,11.114165
8005086,Riederau,47.982581,11.097153
625929,"Riem Bahnhof, München",48.143384,11.679015
8005127,Röhrmoos,48.333318,11.44477
626151,Sauerlach,47.973763,11.654671
8005299,Sauerlach,47.973623,11.655207
8005381,Schmiechen(Schwab),48.213046,10.978087
8005417,Schondorf(Bay),48.052848,11.089847
621521,"Schule, Hebertshausen",48.290874,11.472016
254421,Schwabhausen b Dachau,48.301378,11.364424
8005442,Schwabhausen(b Dachau),48.300182,11.364496
8005406,Schöngeising,48.14737,11.192051
8005504,Seefeld-Hechendorf,48.04137,11.19873
8005508,Seeshaupt,47.822783,11.28703
301320,"Solln, München",48.078156,11.525897
8005639,St Alban,47.964133,11.105359
8005652,St Koloman,48.243747,11.882965
8005656,St Ottilien,48.094544,11.04839
121100,"St.-Martin-Straße, München",48.118742,11.596639
256762,Starnberg,47.996565,11.344437
8005676,Starnberg,47.995934,11.34347
356751,Starnberg Nord,48.005172,11.34771
8005675,Starnberg Nord,48.005975,11.347386
8005699,Steinebach,48.061184,11.206812
8005709,Steinhöring,48.083487,12.031284
8005735,Stockdorf,48.093258,11.400845
8005831,Taufkirchen,48.051552,11.609252
8005852,Thann-Matzbach,48.26651,12.04746
370920,"Trudering, München",48.12565,11.663222
8005927,Tutzing,47.907142,11.27289
8005920,Türkenfeld,48.104586,11.076454
639113,Türkenfeld,48.105091,11.078078
8005986,Unterföhring,48.19031,11.646772
8005991,Unterhaching,48.064665,11.612355
8006688,Unterschleißheim,48.2737,11.568628
8006048,Utting,48.022741,11.093969
8006059,Vaterstetten,48.104109,11.76438
8001922,Vierkirchen-Esterhofen,48.361118,11.445108
8006184,Walleshausen,48.150218,10.980995
8006190,Walpertskirchen,48.260872,11.970421
8006210,Warngau,47.83357,11.709472
8000220,Weilheim(Oberbay),47.845363,11.14286
8006366,Westerham,47.903892,11.828482
401190,"Wettersteinplatz, München",48.108612,11.575403
8006359,Weßling(Oberbay),48.077374,11.251768
8006550,Wolfratshausen,47.91424,11.426989
8006131,Wächterhof,48.033567,11.712731
122301,"Wächterhof, Hohenbrunn",48.03701,11.71332
222302,"Wächterhof, Hohenbrunn",48.037152,11.713438
8006671,Zorneding,48.089395,11.833004
